station_id,tile_id,country,river,station,latitude,longitude,area,reference.db,reference.no,metadata_country,metadata_river,metadata_station,metadata_latitude,metadata_longitude,metadata_area,characteristics_quality,characteristics_latitude,characteristics_longitude,characteristics_area_est,characteristics_dist_km,metadata_joined,characteristics_joined,catchment_shapefile_exists,point_geometry_available,basin_geometry_available,geometry_readiness,geometry_source
us_0005621,N35_W100,US,BIRD CREEK,"NEAR SPERRY, OK",36.27842534,-95.954162,907.0,usgs,7177500,US,BIRD CREEK,"NEAR SPERRY, OK",36.27842534,-95.954162,907.0,High,36.2812,-95.9563,2348.669,0.363,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005627,N35_W100,US,NEOSHO RIVER,"AT COUNCIL GROVE, KS",38.66584085,-96.493614,250.0,usgs,7179500,US,NEOSHO RIVER,"AT COUNCIL GROVE, KS",38.66584085,-96.493614,250.0,High,38.6687,-96.4938,669.1989,0.3181,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005628,N35_W100,US,NEOSHO RIVER,"NEAR AMERICUS, KS",38.46695699,-96.2505533,622.0,usgs,7179730,US,NEOSHO RIVER,"NEAR AMERICUS, KS",38.46695699,-96.2505533,622.0,High,38.4771,-96.2479,1612.741,1.1505,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005629,N35_W100,US,N COTTONWOOD RIVER,"BELOW MARION LK, KS",38.36584739,-97.0828018,200.0,usgs,7179795,US,N COTTONWOOD RIVER,"BELOW MARION LK, KS",38.36584739,-97.0828018,200.0,High,38.3687,-97.0854,524.0949,0.3895,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005630,N35_W100,US,COTTONWOOD RIVER,"NEAR FLORENCE, KS",38.2361285,-96.8772436,754.0,usgs,7180400,US,COTTONWOOD RIVER,"NEAR FLORENCE, KS",38.2361285,-96.8772436,754.0,High,38.2396,-96.8729,1978.799,0.5409,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005631,N35_W100,US,CEDAR CREEK,"NEAR CEDAR POINT, KS",38.19640618,-96.8244648,110.0,usgs,7180500,US,CEDAR CREEK,"NEAR CEDAR POINT, KS",38.19640618,-96.8244648,110.0,High,38.1979,-96.8229,273.3258,0.215,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005633,N35_W100,US,COTTONWOOD RIVER,"NEAR PLYMOUTH, KS",38.3975139,-96.356112,1740.0,usgs,7182250,US,COTTONWOOD RIVER,"NEAR PLYMOUTH, KS",38.3975139,-96.356112,1740.0,High,38.4021,-96.3563,4442.453,0.5099,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005634,N35_W100,US,NEOSHO RIVER,"AT BURLINGTON, KS",38.19446678,-95.735264,3042.0,usgs,7182510,US,NEOSHO RIVER,"AT BURLINGTON, KS",38.19446678,-95.735264,3042.0,High,38.1937,-95.7313,7847.32,0.3565,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005635,N35_W100,US,NEOSHO RIVER,"NEAR IOLA, KS",37.92225778,-95.4277596,3723.0,usgs,7183000,US,NEOSHO RIVER,"NEAR IOLA, KS",37.92225778,-95.4277596,3723.0,High,37.9229,-95.4354,9622.138,0.6736,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005636,N35_W100,US,NEOSHO RIVER,"NEAR PARSONS, KS",37.34005866,-95.1099687,4905.0,usgs,7183500,US,NEOSHO RIVER,"NEAR PARSONS, KS",37.34005866,-95.1099687,4905.0,High,37.3396,-95.1146,12729.96,0.4123,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005637,N35_W100,US,LIGHTNING CREEK,"NEAR MCCUNE, KS",37.2811711,-95.0327428,197.0,usgs,7184000,US,LIGHTNING CREEK,"NEAR MCCUNE, KS",37.2811711,-95.0327428,197.0,High,37.2771,-95.0229,514.2253,0.9809,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005656,N35_W100,US,NEOSHO RIVER,"NEAR LANGLEY, OK",36.4389742,-95.048573,10385.0,usgs,7190500,US,NEOSHO RIVER,"NEAR LANGLEY, OK",36.4389742,-95.048573,10385.0,High,36.4396,-95.0479,27031.09,0.092,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005657,N35_W100,US,BIG CABIN CREEK,"NEAR BIG CABIN, OK",36.56841789,-95.1521891,450.0,usgs,7191000,US,BIG CABIN CREEK,"NEAR BIG CABIN, OK",36.56841789,-95.1521891,450.0,High,36.5687,-95.1521,1199.849,0.0323,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
