response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.925,0.15,0.7417355371900827,support_ok,130,62790,4805,100,100,0.6294421487603307,0.7221074380165289,0.8475206611570247,1.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.95,0.05,-0.006198347107438,support_ok,130,62790,3246,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.95,0.1,0.6900826446280992,support_ok,130,62790,3246,100,100,0.609504132231405,0.7004132231404958,0.781095041322314,1.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.95,0.15,0.640495867768595,support_ok,130,62790,3246,100,96,0.5227272727272727,0.6622727272727271,0.7830578512396694,1.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.975,0.05,0.6487603305785123,support_ok,130,62790,1687,100,100,0.5081611570247934,0.640495867768595,0.7170454545454545,1.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.975,0.1,0.3946280991735537,support_ok,130,62790,1687,100,96,0.3171487603305785,0.4039256198347107,0.4710743801652892,1.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.975,0.15,,invalid_lambda,130,62790,1687,100,8,,,,,ci_support_limited
mean_daily_mean_dis24,global,global,residual_state_matched,0.8,0.05,-0.0020661157024793,support_ok,130,62790,12600,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.01,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.8,0.1,-0.0020661157024793,support_ok,130,62790,12600,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.0,ci_built
mean_daily_mean_dis24,global,global,residual_state_matched,0.8,0.15,-0.0020661157024793,support_ok,130,62790,12600,100,100,-0.0041322314049586,-0.0020661157024793,0.0,0.0,ci_built
