station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1160220,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,LEEURIVIER,LEEUW (27712207),-32.78027778,19.28333333,267.0,True,False,station_point_only
1160230,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,JAN DISSELSRIVIER,CLANWILLIAM (27712306),-32.21166667,18.93666667,163.0,True,False,station_point_only
1160235,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,DORINGRIVIER,MELKBOOM,-31.8625,18.68638889,24044.0,True,False,station_point_only
1160245,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,VIER-EN-TWINTIG-RIVIERE,DRI-DAS-BOSCH (27711428),-33.13472222,19.06083333,183.0,True,False,station_point_only
1160250,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,DIEPRIVIER,MALMESBURY (27711312),-33.46388889,18.74027778,246.0,True,False,station_point_only
1160263,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,BERGRIVIER,DALJOSAFAT,-33.70777778,18.99111111,628.0,True,False,station_point_only
1160265,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,KLEIN-BERGRIVIER,NIEUWKLOOF (27711408),-33.31388889,19.07472222,395.0,True,False,station_point_only
1160266,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,BERGRIVIER,DRIEHEUVELS,-33.13083333,18.86277778,2936.0,True,False,station_point_only
1160300,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,BREE,CERES TOEKEN GEB.,-33.38055556,19.30166667,657.0,True,False,station_point_only
1160301,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,BREE,CERES TOEKEN GEB.,-33.42166667,19.26722222,753.0,True,False,station_point_only
1160303,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,BREE,WOLVENDRIFT,-33.89777778,20.01166667,6713.0,True,False,station_point_only
1160304,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,BREE,LE CHASSEUR,-33.81805556,19.69333333,4355.0,True,False,station_point_only
1160305,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,BREE,SWELLEN DAM,-34.0675,20.40555556,9842.0,True,False,station_point_only
1160320,LAT-040.0_-030.0_LON+0010.0_+0020.0,ZA,DORINGRIVIER,ELANDS DRIFT - ASPOORT (27712202),-32.50277778,19.535,6895.0,True,False,station_point_only
1160352,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,TOUWS,OKKERSKRAAL,-33.69388889,21.14305556,5837.0,True,False,station_point_only
1160353,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GROOTRIVIER,BUFFELSFONTEIN,-33.74916667,21.44444444,12493.0,True,False,station_point_only
1160365,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,HUISRIVIER,ZOAR (27693405),-33.489444,21.489167,268.0,True,False,station_point_only
1160376,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GAMKARIVIER,HUIS RIVER,-33.50222222,21.62277778,17810.0,True,False,station_point_only
1160393,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KANDELAARSRIVIER,PAARDENDRIFT (27693317),-33.67916667,22.14,351.0,True,False,station_point_only
1160396,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,WYNANADSRIVIER,KOETZERS KRAAL (27693318),-33.4675,22.00055556,137.0,True,False,station_point_only
1160400,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MAALGATERIVIER,KNOETZE KAMA (27692703),-34.00666667,22.35027778,145.0,True,False,station_point_only
1160403,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GROOT-BRAKRIVIER,WOLVEDANS,-34.02861111,22.22194444,131.0,True,False,station_point_only
1160417,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,BRANDWAGRIVIER,BRANDWACHT,-34.03166667,22.05277778,215.0,True,False,station_point_only
