response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,global,global,residual_state_matched,0.8,0.15,-0.0020661157024793,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.85,0.05,-0.0020661157024793,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.85,0.1,-0.0020661157024793,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.85,0.15,0.0475206611570247,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.9,0.05,-0.0020661157024793,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.9,0.1,0.1177685950413223,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.9,0.15,0.5268595041322315,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.925,0.05,-0.0020661157024793,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.925,0.1,0.4462809917355372,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.925,0.15,0.7747933884297521,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.95,0.05,0.1776859504132231,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.95,0.1,0.7541322314049587,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.95,0.15,0.6363636363636365,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.975,0.05,0.7148760330578513,support_ok,130,62790,1687,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.975,0.1,0.4442148760330577,support_ok,130,62790,1687,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,residual_state_matched,0.975,0.15,,invalid_lambda,130,62790,1687,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,era,1981-1994,raw_state,0.8,0.05,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.8,0.1,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.8,0.15,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.85,0.05,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.85,0.1,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.85,0.15,0.2747933884297521,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.9,0.05,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.9,0.1,0.3305785123966942,support_ok,130,19890,2309,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,raw_state,0.9,0.15,0.6363636363636364,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.925,0.05,-0.0082644628099173,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.925,0.1,0.5454545454545454,support_ok,130,19890,1766,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,raw_state,0.925,0.15,0.8264462809917356,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.95,0.05,0.3388429752066115,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.95,0.1,0.8161157024793388,support_ok,130,19890,1190,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,raw_state,0.95,0.15,0.9545454545454546,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.975,0.05,0.8367768595041323,support_ok,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.975,0.1,,invalid_lambda,130,19890,611,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,era,1981-1994,raw_state,0.975,0.15,,invalid_lambda,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.8,0.05,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.8,0.1,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.8,0.15,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
