gauge_id,source_family,precip_column,state_column,complete_days,analysis_rows,event_count,date_min,date_max,mi_state,delta_i_over_persistence,rho1,acf_mean,entropy_rate_proxy,rho_lag_1,rho_lag_2,rho_lag_3,rho_lag_7,rho_lag_14,rho_lag_30,xi_star_shuffle_joint,xi_star_block_shuffle_joint,xi_star_phase_randomized_components,xi_star_ar1_q_only,transition_active_states,transition_state_count,transition_weight_entropy,transition_max_weight,aridity,seasonality,frac_snow,area
camels_01013500,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12692,12691,1271,1980-01-01,2014-09-30,0.0873429402461815,0.0279527947829835,0.9961075624657788,0.8550538710322196,1.0000000014903156,0.9961075624657788,0.9884296302258824,0.9783556471248492,0.9212063300569852,0.7888006799859817,0.4574233763338405,2.519918992794967,0.3843914395003738,0.5021811386539828,1.2861653347022906,64,64,5.818226781398001,0.0455705432008749,3.763929465798784,0.8495938971222646,0.3745379780294151,2297.683154625437
camels_01022500,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12326,12325,1239,1981-01-01,2014-09-30,0.1362802988756635,0.0433422743765954,0.9689483459779707,0.7660167929262881,0.9999999952490324,0.9689483459779707,0.9171987937750798,0.8693254499788214,0.7482310283672597,0.6374147057364034,0.4549824337221926,2.0908259817572272,0.5371008530247076,0.8018153179381288,1.4768114363846232,63,64,5.636479970106343,0.0537868005094014,4.539718573836231,0.4585104828721216,0.335420982912543,619.1025954030504
camels_01030500,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12692,12691,1275,1980-01-01,2014-09-30,0.0950792335239416,0.0215928910816132,0.9898096255916712,0.7982705264258949,1.0000000014903156,0.9898096255916712,0.9664962278053696,0.9384201824863708,0.8310686141118128,0.6771069559524174,0.3867215526077283,2.2990028090942793,0.4557506771076221,0.5567989503213647,1.2752379209412987,63,64,5.741350522177699,0.0465913233685745,4.263634516893544,0.6320344935394179,0.3161303579327991,3666.943011361588
camels_01031500,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12326,12325,1240,1981-01-01,2014-09-30,0.173866464113393,0.0561162298231485,0.9622682811758476,0.745757276775926,0.9999999952490324,0.9622682811758476,0.9061164944724752,0.8593488365474634,0.7467474158305649,0.6254435482018228,0.3746190844273819,2.0568393352854373,0.5108312897838847,0.9123675274453714,1.6706491195973217,63,64,5.61448430717021,0.0602292306539815,3.947521339239572,0.6692313302898131,0.3062944241803301,764.8241487847673
camels_01047000,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12418,12417,1250,1981-01-01,2014-12-31,0.1738067162839252,0.0488396855358372,0.9532775301011358,0.7257226329172739,1.0000000077943174,0.9532775301011358,0.8894965160545087,0.838640549313137,0.7238296975061381,0.5973226465221656,0.351768858006558,2.006648085818221,0.5217591243078009,0.955067727111164,1.7487826022212094,61,64,5.579885445065059,0.0638345361208243,3.694791769408361,0.6804129619422185,0.299082256147178,902.8950759161186
camels_01052500,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12418,12417,1246,1981-01-01,2014-12-31,0.1565092942734948,0.0334966154900344,0.9271888634446306,0.6574447228471585,1.0000000077943174,0.9271888634446306,0.8377440399743514,0.7764978033003197,0.6441134961510043,0.5078204708963209,0.2513036633163241,1.786968604916172,0.6212998226273151,0.866693351570592,1.561127161412519,60,64,5.522197277101371,0.0703816680306524,3.128511589200104,0.9227409045966908,0.3683911315756635,395.4449102166139
camels_01054200,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12418,12417,1244,1981-01-01,2014-12-31,0.1235373587605299,0.0232582629821923,0.9217684729294005,0.6815278352964959,1.0000000077943174,0.9217684729294005,0.8375330441692546,0.783748330132279,0.6726255345346819,0.5497771385531008,0.3237144914602577,1.8660324394540604,0.5591558712252657,1.1780064651155433,1.9446189097352713,61,64,5.535854576637487,0.0735808347593185,3.0018828405767057,0.8382577704543815,0.3742814343994455,180.83578258638576
camels_01055000,camels,total_precipitation_sum,volumetric_soil_water_layer_1_mean,12418,12417,1245,1981-01-01,2014-12-31,0.1355418812255671,0.0258828444437742,0.9217405790660872,0.6825551517445098,1.0000000077943174,0.9217405790660872,0.833619155531291,0.7779052738423504,0.6730142070817534,0.5637870524995823,0.3252646424459948,1.8563036847140144,0.5751183806918609,1.0877537601155438,1.8408622830214003,62,64,5.533184941726159,0.072836842496838,3.72115104163301,0.6804714239582595,0.387008036638492,250.42611656282844
camelsbr_10500000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,13573,13572,1364,1980-09-22,2018-12-31,0.0300049972374167,0.0043996840927168,0.998472884460312,0.925678219007476,0.9999999986927006,0.998472884460312,0.9950212999374716,0.9899743982180328,0.9592636917347208,0.8888653293934426,0.7224717103008766,2.1778489652505897,0.5270568548222067,0.8266528658211568,1.090467656608625,63,64,5.635651437413454,0.0739928747602082,1.5424590242983716,0.5457870633415823,0.0,61766.966587809206
camelsbr_11400000,camelsbr,total_precipitation_sum,volumetric_soil_water_layer_1_mean,13772,13771,1383,1980-01-01,2018-11-30,0.016333157515305,0.002289816221331,0.9990178517615942,0.938931815886224,1.000000001265896,0.9990178517615942,0.9969347878473284,0.993836991002366,0.9732307985445032,0.9178650066730708,0.7527054594884807,2.820605836996028,0.4843786643623654,0.507446842014688,1.8621916300265904,59,64,5.554535824816497,0.0644812436633998,1.2684617362523414,0.7114822500129122,0.0,1016323.2057944546
