component,explained_variance,cumulative_variance
1,0.9420380119637424,0.9420380119637424
2,0.046567438098164264,0.9886054500619066
3,0.010218568512279218,0.9988240185741858
4,0.0010489538861081212,0.9998729724602939
5,0.0001150152454641582,0.9999879877057581
6,1.2012294241846679e-05,1.0
