station_id,months_after_nonnull
1160487,3
4115350,3
3628900,11
1160341,12
2590300,12
6136110,12
1159880,14
1196220,15
4152590,15
1197507,16
1159813,18
3649860,19
1159811,20
6122340,21
1159560,23
6123145,23
6442100,23
